name,size,duration,duration(s),speed,size_per_sec
murmur3_x64_128_of_slice,16,100ns,0.0000001,152.59MB/s,160000000
murmur3_x86_128_of_slice,16,0ns,0,infBB/s,inf
md5_compute,32,700ns,0.0000007,43.60MB/s,45714285.71428572
Blake2b512,32,2.9µs,0.0000029,10.52MB/s,11034482.75862069
Blake2s256,32,1.4µs,0.0000014,21.80MB/s,22857142.85714286
Sha1,32,700ns,0.0000007,43.60MB/s,45714285.71428572
Keccak224,32,2.2µs,0.0000022,13.87MB/s,14545454.545454545
Keccak256,32,600ns,0.0000006,50.86MB/s,53333333.333333336
Keccak384,32,800ns,0.0000008,38.15MB/s,40000000
Keccak512,32,1.2µs,0.0000012,25.43MB/s,26666666.666666668
Keccak256Full,32,1.5µs,0.0000015,20.35MB/s,21333333.333333332
Sha3_224,32,900ns,0.0000009,33.91MB/s,35555555.55555555
Sha3_256,32,800ns,0.0000008,38.15MB/s,40000000
Sha3_384,32,700ns,0.0000007,43.60MB/s,45714285.71428572
Sha3_512,32,700ns,0.0000007,43.60MB/s,45714285.71428572
Sha224,32,500ns,0.0000005,61.04MB/s,64000000
Sha256,32,300ns,0.0000003,101.73MB/s,106666666.66666667
Sha384,32,1.6µs,0.0000016,19.07MB/s,20000000
Sha512,32,800ns,0.0000008,38.15MB/s,40000000
Sha512_224,32,700ns,0.0000007,43.60MB/s,45714285.71428572
Sha512_256,32,400ns,0.0000004,76.29MB/s,80000000
sm3,32,1.3µs,0.0000013,23.48MB/s,24615384.615384616
crc<u16>,32,800ns,0.0000008,38.15MB/s,40000000
crc<u32>,32,400ns,0.0000004,76.29MB/s,80000000
crc<u64>,32,1.3µs,0.0000013,23.48MB/s,24615384.615384616
crc16,32,800ns,0.0000008,38.15MB/s,40000000
crc32fast,32,1.5µs,0.0000015,20.35MB/s,21333333.333333332
crc64,32,600ns,0.0000006,50.86MB/s,53333333.333333336
sha256,32,600ns,0.0000006,50.86MB/s,53333333.333333336
twox_hash::XxHash32,32,100ns,0.0000001,305.18MB/s,320000000
twox_hash::XxHash64,32,600ns,0.0000006,50.86MB/s,53333333.333333336
twox_hash::XxHash3_64,32,300ns,0.0000003,101.73MB/s,106666666.66666667
twox_hash::XxHash3_128,32,400ns,0.0000004,76.29MB/s,80000000
seahash,32,200ns,0.0000002,152.59MB/s,160000000
xxhash::xxh32,32,100ns,0.0000001,305.18MB/s,320000000
xxhash::xxh64,32,200ns,0.0000002,152.59MB/s,160000000
xxhash::xxh3_64_with_seed,32,100ns,0.0000001,305.18MB/s,320000000
xxhash::xxh3_128_with_seed,32,100ns,0.0000001,305.18MB/s,320000000
xxhash::const_xxh32,32,100ns,0.0000001,305.18MB/s,320000000
xxhash::const_xxh64,32,100ns,0.0000001,305.18MB/s,320000000
xxhash::const_xxh3_64_with_seed,32,400ns,0.0000004,76.29MB/s,80000000
xxhash::const_xxh3_128_with_seed,32,500ns,0.0000005,61.04MB/s,64000000
murmur3_32,32,100ns,0.0000001,305.18MB/s,320000000
murmur3_x64_128,32,200ns,0.0000002,152.59MB/s,160000000
murmur3_x86_128,32,200ns,0.0000002,152.59MB/s,160000000
murmur3_32_of_slice,32,0ns,0,infBB/s,inf
murmur3_x64_128_of_slice,32,100ns,0.0000001,305.18MB/s,320000000
murmur3_x86_128_of_slice,32,200ns,0.0000002,152.59MB/s,160000000
md5_compute,64,900ns,0.0000009,67.82MB/s,71111111.1111111
Blake2b512,64,2.1µs,0.0000021,29.06MB/s,30476190.476190478
Blake2s256,64,1.1µs,0.0000011,55.49MB/s,58181818.18181818
Sha1,64,600ns,0.0000006,101.73MB/s,106666666.66666667
Keccak224,64,1.8µs,0.0000018,33.91MB/s,35555555.55555555
Keccak256,64,700ns,0.0000007,87.19MB/s,91428571.42857143
