name,size,duration,duration(s),speed,size_per_sec
twox_hash::XxHash64,16,171ns,0.000000171,89.23MB/s,93567251.4619883
twox_hash::XxHash3_64,16,184ns,0.000000184,82.93MB/s,86956521.73913044
twox_hash::XxHash3_128,16,237ns,0.000000237,64.38MB/s,67510548.52320676
seahash,16,174ns,0.000000174,87.69MB/s,91954022.98850575
xxhash::xxh32,16,191ns,0.000000191,79.89MB/s,83769633.5078534
xxhash::xxh64,16,269ns,0.000000269,56.72MB/s,59479553.90334573
xxhash::xxh3_64_with_seed,16,158ns,0.000000158,96.57MB/s,101265822.78481013
xxhash::xxh3_128_with_seed,16,139ns,0.000000139,109.78MB/s,115107913.66906475
xxhash::const_xxh32,16,262ns,0.000000262,58.24MB/s,61068702.29007634
xxhash::const_xxh64,16,194ns,0.000000194,78.65MB/s,82474226.80412371
xxhash::const_xxh3_64_with_seed,16,170ns,0.00000017,89.76MB/s,94117647.05882353
xxhash::const_xxh3_128_with_seed,16,180ns,0.00000018,84.77MB/s,88888888.8888889
murmur3_32,16,300ns,0.0000003,50.86MB/s,53333333.333333336
murmur3_x64_128,16,234ns,0.000000234,65.21MB/s,68376068.37606838
murmur3_x86_128,16,218ns,0.000000218,69.99MB/s,73394495.41284403
murmur3_32_of_slice,16,187ns,0.000000187,81.60MB/s,85561497.32620321
murmur3_x64_128_of_slice,16,153ns,0.000000153,99.73MB/s,104575163.39869282
murmur3_x86_128_of_slice,16,174ns,0.000000174,87.69MB/s,91954022.98850575
md5_compute,32,565ns,0.000000565,54.01MB/s,56637168.14159292
Blake2b512,32,1.66µs,0.00000166,18.38MB/s,19277108.43373494
Blake2s256,32,1.178µs,0.000001178,25.91MB/s,27164685.908319186
Sha1,32,863ns,0.000000863,35.36MB/s,37079953.650057934
Keccak224,32,1.559µs,0.000001559,19.58MB/s,20525978.191148173
Keccak256,32,1.289µs,0.000001289,23.68MB/s,24825446.08223429
Keccak384,32,1.435µs,0.000001435,21.27MB/s,22299651.56794425
Keccak512,32,1.605µs,0.000001605,19.01MB/s,19937694.704049844
Keccak256Full,32,2.627µs,0.000002627,11.62MB/s,12181195.279786829
